Unnamed: 0,Tool Name,Tool Page URL,Category,Category URL,Subcategory,Source Subcategory URL,Source,Domain
0,MYPEAS.ai,https://www.futurepedia.io/tool/mypeas-ai,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,https://mypeas.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
1,Monica,https://www.futurepedia.io/tool/monica,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,https://monica.im/invitation-affiliate?ref=yzawntq&ref_aff=yzawntq
2,You,https://www.futurepedia.io/tool/you,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,https://you.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
3,Jigso,https://www.futurepedia.io/tool/jigso,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,https://www.jigso.io/lp-sidekick?utm_source=futurepedia
4,Flash,https://www.futurepedia.io/tool/flash,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,https://us.flash.co/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
5,Dream Interpreter,https://www.futurepedia.io/tool/dream-interpreter,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,https://dreaminterpreter.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
6,Notion AI,https://www.futurepedia.io/tool/notion-ai,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,https://affiliate.notion.so/3flhw3n0dxr4
7,timeOS,https://www.futurepedia.io/tool/timeos,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,https://magical.so/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
8,WatchNow AI,https://www.futurepedia.io/tool/watchnow-ai,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,https://www.watchnowai.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
9,Socratic by Google,https://www.futurepedia.io/tool/socratic-by-google,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,https://socratic.org/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
10,Casper AI,https://www.futurepedia.io/tool/casper-ai,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,https://chrome.google.com/webstore/detail/casper-ai/fgfiokgecpkambjildjleljjcihnocel?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
11,Microsoft Bing,https://www.futurepedia.io/tool/microsoft-bing,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,https://www.bing.com/new?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
12,Excel Formula Bot,https://www.futurepedia.io/tool/excel-formula-bot,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,https://excelformulabot.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
13,MeetGeek,https://www.futurepedia.io/tool/meetgeek,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,https://meetgeek.grsm.io/h3c09ouw0l03?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
