Unnamed: 0,Tool Name,Tool Page URL,Category,Category URL,Subcategory,Source Subcategory URL,Source,Domain
0,MYPEAS.ai,https://www.futurepedia.io/tool/mypeas-ai,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,
1,Monica,https://www.futurepedia.io/tool/monica,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,
2,You,https://www.futurepedia.io/tool/you,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,
3,Jigso,https://www.futurepedia.io/tool/jigso,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,
4,Flash,https://www.futurepedia.io/tool/flash,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,
5,Dream Interpreter,https://www.futurepedia.io/tool/dream-interpreter,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,
6,Notion AI,https://www.futurepedia.io/tool/notion-ai,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,
7,timeOS,https://www.futurepedia.io/tool/timeos,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,
8,WatchNow AI,https://www.futurepedia.io/tool/watchnow-ai,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,
9,Socratic by Google,https://www.futurepedia.io/tool/socratic-by-google,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,
10,Casper AI,https://www.futurepedia.io/tool/casper-ai,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,
11,Microsoft Bing,https://www.futurepedia.io/tool/microsoft-bing,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,
12,Excel Formula Bot,https://www.futurepedia.io/tool/excel-formula-bot,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,
